Inner product checksum rho =         433107DB
Inner product checksum theta =         4C08DF87
Inner product checksum u =         606FB53A
Inner product checksum mr1 =         3B1C9A1A
Inner product checksum mr2 =                0
Inner product checksum mr3 =                0
Inner product checksum mr4 =                0
Inner product checksum mr5 =                0
Inner product checksum mr6 =                0
